证券代码,证券名称
JMAT,庄信万丰
IHG,洲际酒店(UK)
CAML,中亚金属
ICP,中间资本集团
CPIC,中国太保
AIRC,中国国航
CNSD,中国钢铁
SMS,智能电表系统
DLG,直线保险集团
0A5B,芝乐坊餐厅
CYPC,长江电力
STAN,渣打集团
YOU,舆观
USY,优利系统
YTT,永太科技
CMCX,盈丰财资市场
INCH,英之杰集团
EMG,英仕曼集团
AAL,英美资源公司
0A76,英美烟草
BATS,英美烟草
ABF,英联食品
UKOG,英国油气投资
BLND,英国土地公司
INVR,英国天达
BP.,英国石油
CNA,英国森特理克
MNDI,英国蒙迪集团
HLMA,英国豪迈
NG.,英国国家电网
ITV,英国独立电视台
BT.A,英国电信集团
PRU,英国保诚
SNR,英国 Senior
INF,英富曼集团
AEP,英东种植园
0HGV,应用光电
TTST,印度塔塔钢铁
RIGD,印度瑞来斯实业
SBIA,印度国家银行
SBID,印度国家银行
EXPN,益博睿(益百利)
EZJ,易捷航空
JAR,怡和控股(SINGAPORE REG)
JARJ,怡和控股(JERSEY REG)
JARB,怡和控股(BERMUDA REG)
EVR,耶弗拉兹公司
HKLD,香港置地集团(SING.REG)
HKLJ,香港置地集团(JERSEY REG)
HKLB,香港置地集团(BERMUDA REG)
HYUP,现代汽车(GDS PREF)
HYUO,现代汽车(GDS ORD)
HYUD,现代汽车(GDR)
HFG,希尔顿食品集团
BVA,西班牙对外银行
WG.,伍德集团
VOD,沃达丰(UK)
MDO,文华东方国际(SING REG)
MDOJ,文华东方国际(JERSEY REG)
MDOB,文华东方国际(BERMUDA REGD)
WEIR,伟尔集团
VCP,维多利亚
WIZZ,威兹航空控股
WINE,威严葡萄酒
VCT,威格斯
MAW,丸和
EGY,瓦可能源
LAND,土地证券集团
TUI,途易集团
TLW,图罗石油
GEC,通用电气(UK)
ITRK,天祥集团
INVP,天达证券投资顾问
TW.,泰勒温佩
TPK,塔维博金集团
SSE,苏格兰和南方能源公司
STVG,苏格兰电视台
SMT,苏格兰抵押贷款证券公司
SGRO,思格卢公司
SPT,思博伦通信
SXS,思百吉
SKG,司墨飞·卡帕集团
SOM,朔马珞企业
PSN,柿子公司
SMIN,史密斯集团
SMDS,史密斯
SN.,施乐辉公司
STJ,圣詹姆斯广场
SBRY,森宝利(英伯瑞)
BNC,桑坦德银行(UK)
SVT,赛文特
SGE,赛捷集团
XAR,赛尔
RNO,瑞诺德集团
CEIR,仁宝电脑
CEIA,仁宝电脑
BNR,燃石医学
CHH,丘吉尔瓷器
CGH,恰拉特黄金
0A7B,奇美拉投资
PDL,佩特拉钻石
PSON,培生
0K92,诺斯罗普-格鲁曼(UK)
OXIG,牛津仪器
OXB,牛津生物医药
RTO,能多洁
NXT,耐斯特
JUP,木星基金管理
MGAM,摩根新材料
MYSE,明阳智能
PRND,茂德科技
MAC,玛夏资本
MKS,马莎百货
RKH,洛克霍普勘探
LSEG,伦敦证券交易所
CLIG,伦敦城市投资集团
UVEL,联视工程
ULVR,联合利华
UTG,联合集团
UU.,联合公用事业集团
RKT,利洁时
RIO,力拓(UK)
POSE,力晶半导体
POSD,力晶半导体
RCDO,里卡多
RSW,雷尼绍
TSCO,乐购
RR.,劳斯莱斯
LLOY,劳埃德银行(UK)
FEVR,蓝桉树饮料
RNK,兰科集团
LRE,兰开夏郡控股
KMR,肯梅尔资源
CKN,克拉克森
TRIG,可再生能源基础设施集团
CCEP,可口可乐欧洲太平洋合伙(UK)
CCH,可口可乐HBC
SHEL,壳牌
KNM,科乐美 (KONAMI)
CPG,康帕斯集团
KDR,卡累利阿钻石资源
CAR,卡柯洛
CMCL,喀里多尼亚矿业(UK)
BOR,疆南石油
CCL,嘉年华邮轮(UK)
GLEN,嘉能可
HRN,霍恩比
WML,慧洋海运
WTB,惠特贝瑞
WPM,惠顿贵金属
HSBA,汇丰控股
IMI,皇家金属工业(IMI)
HTSC,华泰证券
HHPG,鸿海精密工业
HHPD,鸿海精密工业
ACID,宏碁
ACIA,宏碁
HTG,亨廷
HCM,和黄医药(UK)
CRDA,禾大国际
VLX,豪利士集团
HAS,瀚纳仕人才管理咨询
ELM,海名斯
0J39,哈莫尼黄金
HL.,哈格里夫斯·兰斯多恩公司
SDIC,国投电力
CFHS,国泰金控
IAG,国际航空集团
IPF,国际个人金融
GSK,葛兰素史克(UK)
GFM,格瑞芬矿业
GLB,哥兰比亚集团
FRES,弗雷斯尼洛
FERG,弗格森
PHNX,凤凰集团控股
TYT,丰田汽车(UK)
0M32,芬兰斯道拉恩索公司
0CX9,芬兰斯道拉恩索公司
RLE,房地产投资者
PAF,泛非资源
NBS,泛邦建房合作社
LGEN,法通保险
SVS,第一太平戴维斯
FGP,第一集团
DGE,帝亚吉欧(UK)
DGED,帝亚吉欧(UK ADR)
IMB,帝国烟草
DLAR,得利来
DAT,大唐发电
DPP,达美乐波兰
DOM,达美乐比萨(UK)
0A7E,达美乐比萨
KGF,翠丰集团
RTN,餐饮集团
BRK,布鲁克斯麦克唐纳集团
BMY,布卢姆斯伯里出版
BRBY,博柏利
BKG,伯克利集团
BUR,伯福德资本
BNZL,本泽商贸
BOY,鲍迪克
BMS,百力马航运服务经纪
BDEV,巴莱特开发公司
BARC,巴克莱
BAB,巴布考克国际集团
ANTO,安托法加斯塔公司
ASHM,安石集团
0IJN,爱克斯龙电力
XPP,蔼克彼电源
AZN,阿斯利康(UK)
AML,阿斯顿马丁
