Exchange,交易所,ISO Code,Country,国家,Selected,Exchange Website (English)
Buenos Aires Stock Exchange,布宜诺斯艾利斯,XBUE,Argentina,阿根廷,1,https://www.bcba.sba.com.ar/
Irish Stock Exchange,爱尔兰,XDUB,Ireland,爱尔兰,1,http://www.ise.ie/
Wiener Borse,奥地利,XWBO,Austria,奥地利,1,https://www.wienerborse.at/en/
Austrialian Securities Exchange,澳大利亚,XASX,Australia,澳大利亚,1,https://www.asx.com.au/
Pakistan Stock Exchange,巴基斯坦,XKAR,Pakistan,巴基斯坦,,https://www.psx.com.pk/
BMF Bovespa,圣保罗,BVMF,Brazil,巴西,1,http://www.b3.com.br/en_us/
Euronext Brussels,布鲁塞尔,XBRU,Belgium,比利时,1,https://www.euronext.com/en/regulation/brussels
Iceland Stock Exchange,冰岛,XICE,Iceland,冰岛,1,http://www.nasdaqomxnordic.com/
Poland Stock Exchange,波兰,XWAR,Poland,波兰,1,http://www.gpw.pl
Copenhagen Stock Exchange,哥本哈根,XCSE,Denmark,丹麦,1,http://www.nasdaqomxnordic.com/
Frankfurt Stock Exchange,法兰克福,XFRA,Germany,德国,,http://en.boerse-frankfurt.de/
Xetra,德意志,XETR,Germany,德国,1,https://www.xetra.com/
Moscow Exchange,莫斯科,XMOS,Russia,俄罗斯,1,https://www.moex.com/en/
Euronext Paris,巴黎,XPAR,France,法国,1,https://www.euronext.com/en/regulation/paris
Philippine Stock Exchange,菲律宾,XPHS,Philippines,菲律宾,1,https://www.pse.com.ph/
Helsinki Stock Exchange,赫尔辛基,XHEL,Finland,芬兰,1,http://www.nasdaqomxnordic.com/
Colombia Securities Exchange,哥伦比亚,XBOG,Colombia,哥伦比亚,1,https://www.bvc.com.co/nueva/https://www.bvc.com.co/nueva/
Astana International Exchange,哈萨克斯坦,AIXK,Kazakhstan,哈萨克斯坦,1,https://www.aix.kz/
Korea Exchange,韩国,XKRX,South Korea,韩国,1,http://global.krx.co.kr
Euronext Amsterdam,阿姆斯特丹,XAMS,Netherlands,荷兰,1,https://www.euronext.com/en/regulation/amsterdam
Istanbul Stock Exchange,伊斯坦布尔,XIST,Turkey,土耳其,1,https://www.borsaistanbul.com/en/
Toronto Stock Exchange,多伦多,XTSE,Canada,加拿大,1,https://www.tsx.com/
Prague Stock Exchange,布拉格,XPRA,Czech Republic,捷克共和国,1,https://www.pse.cz/en/
Bucharest Stock Exchange,罗马尼亚,XBSE,Romania,罗马尼亚,1,https://www.bvb.ro/
Malaysia Stock Exchange,马来西亚,XKLS,Malaysia,马来西亚,1,http://www.bursamalaysia.com/market/
New York Stock Exchange,纽约,XNYS,USA,美国,1,https://www.nyse.com/index
CBOE Futures,芝加哥期权期货,XCBF,USA,美国,,https://markets.cboe.com/us/futures/overview/
Chicago Mercantile Exchange,芝加哥商业,CMES,USA,美国,,https://www.cmegroup.com/
ICE US,美国ICE,IEPA,USA,美国,,https://www.theice.com/index
Lima Stock Exchange,秘鲁,XLIM,Peru,秘鲁,1,https://www.bvl.com.pe
Mexican Stock Exchange,墨西哥,XMEX,Mexico,墨西哥,1,https://www.bmv.com.mx
Johannesburg Stock Exchange,约翰内斯堡,XJSE,South Africa,南非,1,https://www.jse.co.za/z
Oslo Stock Exchange,奥斯陆,XOSL,Norway,挪威,1,https://www.oslobors.no/ob_eng/
Euronext Lisbon,里斯本,XLIS,Portugal,葡萄牙,1,https://www.euronext.com/en/regulation/lisbon
Tokyo Stock Exchange,东京,XTKS,Japan,日本,1,https://www.jpx.co.jp/english/
Stockholm Stock Exchange,斯德哥尔摩,XSTO,Sweden,瑞典,1,http://www.nasdaqomxnordic.com/
SIX Swiss Exchange,瑞士,XSWX,Switzerland,瑞士,1,https://www.six-group.com/en/home.html
Saudi Stock Exchange,沙特,XSAU,Saudi Arabia,沙特,1,https://www.saudiexchange.sa/
Taiwan Stock Exchange Corp.,台湾,XTAI,Taiwan,台湾,1,https://www.twse.com.tw/en/
Stock Exchange of Thailand,泰国,XBKK,Thailand,泰国,1,https://www.set.or.th/set/mainpage.do?language=en&country=US
Bolsa de Madrid,马德里,XMAD,Spain,西班牙,1,https://www.bolsamadrid.es
Athens Stock Exchange,雅典,ASEX,Greece,希腊,1,http://www.helex.gr/
Hong Kong Stock Exchange,香港,XHKG,Hong Kong,香港,1,https://www.hkex.com.hk/?sc_lang=en
Singapore Exchange,新加坡,XSES,Singapore,新加坡,1,https://www.sgx.com
New Zealand Exchange,新西兰,XNZE,New Zealand,新西兰,1,https://www.nzx.com/
Budapest Stock Exchange,匈牙利,XBUD,Hungary,匈牙利,1,https://bse.hu/
Tel Aviv Stock Exchange,以色列,XTAE,Israel,以色列,1,https://www.tase.co.il/
Borsa Italiana,意大利,XMIL,Italy,意大利,1,https://www.borsaitaliana.it
Bombay Stock Exchange,孟买,XBOM,India,印度,1,https://www.bseindia.com
Indonesia Stock Exchange,印度尼西亚,XIDX,Indonesia,印度尼西亚,1,https://www.idx.co.id/
London Stock Exchange,伦敦,XLON,England,英国,1,https://www.londonstockexchange.com/
Santiago Stock Exchange,智利,XSGO,Chile,智利,1,https://www.bolsadesantiago.com/
Shanghai Stock Exchange,上海,XSHG,China,中国,1,http://english.sse.com.cn
